23.88.172.11,29888
23.88.172.53,29888
23.94.3.228,24557
23.94.44.237,10998
23.94.60.114,24557
23.94.165.179,12335
23.94.195.98,9346
23.94.248.28,34555
23.95.208.199,12335
23.229.37.70,34223
23.236.141.31,34223
23.254.15.100,23455
45.57.138.42,14335
45.57.172.105,55442
45.72.76.141,13223
45.85.160.86,32349
45.85.162.52,23333
45.224.253.93,12333
66.78.40.116,13446
66.78.41.103,13446
66.78.41.144,13446
67.227.104.107,13445
67.227.104.146,13445
67.227.105.31,13445
104.227.89.157,19887
138.128.67.205,11665
168.196.236.226,10009
172.245.66.152,12667
172.245.75.130,12667
172.245.76.185,12667
172.245.76.224,12667
172.245.80.212,12667
172.245.83.71,10998
172.245.87.167,12667
172.245.123.222,12335
172.245.206.250,12335
173.211.29.101,2344
173.211.29.149,2344
192.3.107.134,24557
192.3.214.207,12335
192.3.234.129,63445
192.80.139.225,23886
192.157.215.175,23886
192.210.183.149,12334
192.210.183.190,12334
198.46.168.149,33226
198.46.170.146,33226
198.46.171.227,33226
198.46.184.180,13442
198.46.219.73,12998